City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,neverkino,52.7854,46.7417,3.32,96,93,3.71,RU,1699932950
1,grytviken,-54.2811,-36.5092,1.66,98,100,3.31,GS,1699932950
2,iqaluit,63.7506,-68.5145,-17.95,64,0,2.06,CA,1699932950
3,bethel,41.3712,-73.414,3.85,82,0,2.06,US,1699932950
4,christchurch,-43.5333,172.6333,25.11,36,20,9.77,NZ,1699932809
5,yoko,5.5333,12.3167,18.01,97,97,1.12,CM,1699932950
6,port-aux-francais,-49.35,70.2167,6.46,97,100,15.14,TF,1699932951
7,west island,-12.1568,96.8225,28.99,70,40,4.63,CC,1699932951
8,avarua,-21.2078,-159.775,23.03,64,20,3.6,CK,1699932700
9,benjamin constant,-4.3831,-70.0311,25.07,95,73,0.58,BR,1699932951
10,hithadhoo,-0.6,73.0833,27.52,79,57,4.64,MV,1699932951
11,edinburgh of the seven seas,-37.0676,-12.3116,13.53,78,11,11.8,SH,1699932951
12,puerto natales,-51.7236,-72.4875,0.85,83,81,4.47,CL,1699932952
13,herceg novi,42.4531,18.5375,13.49,100,100,0.0,ME,1699932952
14,blackmans bay,-43.0167,147.3167,15.85,55,12,5.03,AU,1699932952
15,fale old settlement,-9.3852,-171.2468,26.45,84,100,0.73,TK,1699932952
16,harstad,68.799,16.5293,-2.69,64,11,1.32,NO,1699932836
17,yellowknife,62.456,-114.3525,-3.71,93,100,6.17,CA,1699932953
18,kapuskasing,49.4169,-82.4331,1.05,93,100,3.6,CA,1699932953
19,mount pearl,47.5166,-52.7813,-0.93,83,75,2.57,CA,1699932722
20,saint-philippe,-21.3585,55.7679,24.77,77,53,3.33,RE,1699932953
21,tolanaro,-25.0319,46.9987,24.13,69,26,2.79,MG,1699932731
22,talnakh,69.4865,88.3972,-21.59,96,40,2.74,RU,1699932953
23,nova sintra,14.8667,-24.7167,23.78,72,100,5.57,CV,1699932912
24,hasaki,35.7333,140.8333,17.22,33,0,1.56,JP,1699932891
25,ushuaia,-54.8,-68.3,1.81,75,0,2.06,AR,1699932924
26,arraial do cabo,-22.9661,-42.0278,24.98,88,0,4.12,BR,1699932954
27,margaret river,-33.95,115.0667,20.27,63,100,5.07,AU,1699932954
28,utrik,11.2278,169.8474,27.97,81,100,8.3,MH,1699932954
29,adamstown,-25.066,-130.1015,22.94,86,100,8.02,PN,1699932954
30,port elizabeth,-33.918,25.5701,16.16,83,75,4.63,ZA,1699932955
31,newman,37.3138,-121.0208,15.72,68,38,2.45,US,1699932955
32,puerto baquerizo moreno,-0.9,-89.6,23.76,82,96,4.21,EC,1699932955
33,stanley,54.868,-1.6985,7.06,92,20,2.57,GB,1699932955
34,santa terezinha,-29.9002,-50.0904,20.28,96,100,1.39,BR,1699932955
35,punta arenas,-53.15,-70.9167,2.06,75,20,5.14,CL,1699932955
36,dudinka,69.4058,86.1778,-24.91,95,17,1.44,RU,1699932956
37,ribeira grande,38.5167,-28.7,16.54,81,100,2.68,PT,1699932956
38,kota bharu,6.1333,102.2386,29.97,74,40,0.0,MY,1699932956
39,kondoa,-4.9,35.7833,18.47,88,86,1.72,TZ,1699932956
40,nogliki,51.8333,143.1667,-4.81,68,66,6.71,RU,1699932956
41,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1699932657
42,bredasdorp,-34.5322,20.0403,14.86,82,35,7.47,ZA,1699932861
43,san juan de miraflores,-12.1629,-76.9635,20.09,83,67,4.37,PE,1699932957
44,ifanadiana,-21.3,47.6333,23.41,72,14,0.25,MG,1699932957
45,eyl,7.9803,49.8164,27.46,73,19,6.26,SO,1699932957
46,aykhal,66.0,111.5,-8.69,94,100,3.9,RU,1699932681
47,jamestown,42.097,-79.2353,8.77,73,20,6.17,US,1699932867
48,lerwick,60.1545,-1.1494,6.87,77,71,4.63,GB,1699932958
49,portland,45.5234,-122.6762,9.49,90,0,2.24,US,1699932782
